it,temp,actualQ,bestQ,pAvg,diversification
1000,79.4023,2665.6,2981.5,43.6533,1
2000,78.8072,2858.56,3072.16,42.2222,1
3000,78.2187,3094.79,3257.57,42.1053,1
4000,77.6323,2982.14,3391.01,38.7812,1
5000,77.0525,3201.53,3425.48,40.2778,1
6000,76.4756,3181.08,3494,37.2159,1
7000,75.9034,3165.39,3567.55,35.9649,1
8000,75.3359,3285.55,3567.55,36.9318,1
9000,74.7713,3236.46,3567.55,41.3462,1
10000,74.213,3451.06,3647.21,36.2069,1
11000,73.656,3016.09,3722.91,37.971,1
12000,73.1066,3212.8,3722.91,40.0612,1
13000,72.5584,3120.86,3722.91,39.8524,1
14000,72.0167,3321.96,3722.91,38.6581,1
15000,71.477,2964.85,3722.91,38.6598,1
16000,70.943,3205.75,3722.91,41.6974,1
17000,70.4117,3222.54,3722.91,34.9462,1
18000,69.8853,3167.99,3722.91,38.0435,1
19000,69.3621,3468.45,3722.91,34.2857,1
20000,68.8433,3496.11,3722.91,36.1823,1
21000,68.3282,2898.79,3722.91,33.5165,1
22000,67.817,3132.81,3722.91,37.2781,1
23000,67.3096,2878.68,3722.91,41.6667,1
24000,66.806,3114.39,3722.91,33.2425,1
25000,66.3061,2974.51,3722.91,36.9565,1
26000,65.8102,2644.5,3722.91,38.2609,1
27000,65.3175,3197.32,3722.91,37.2549,1
28000,64.8292,3288.7,3722.91,37.9939,1
29000,64.3435,3206.51,3722.91,34.7222,1
30000,63.8629,3013.91,3722.91,33.913,1
31000,63.3851,3221.83,3722.91,35.8537,1
32000,62.9109,3236.94,3722.91,32.687,1
33000,62.4402,3213.32,3722.91,29.6296,1
34000,61.9731,3324.45,3722.91,32.2335,1
35000,61.5094,3201.26,3722.91,27.8912,1
36000,61.0491,3353.57,3722.91,35.7357,1
37000,60.5922,3303.56,3722.91,35.7143,1
38000,60.1387,3640.08,3747.2,34,1
39000,59.6886,3116.28,3747.2,31.0748,1
40000,59.2422,3394.11,3747.2,35.2751,1
41000,58.7991,3221.28,3747.2,35.493,1
42000,58.3593,3267.28,3747.2,33.8753,1
43000,57.9226,3299.57,3747.2,33.0709,1
44000,57.4892,3509.15,3747.2,32.5733,1
45000,57.0589,3410.85,3747.2,39.1753,1
46000,56.6317,3051.37,3747.2,32.2581,1
47000,56.2082,3531.23,3747.2,36.5031,1
48000,55.7879,3390.25,3747.2,31.7422,1
49000,55.3705,3117.06,3747.2,40.2135,1
50000,54.9562,3207.04,3747.2,35.5932,1
51000,54.5447,2962.02,3747.2,40.5751,1
52000,54.1366,3213.18,3747.2,36.0248,1
53000,53.7318,3141.26,3747.2,36.5854,1
54000,53.3299,3099.63,3747.2,38.6667,1
55000,52.9308,3348.05,3747.2,33.1269,1
56000,52.5344,3591.63,3747.2,29.0909,1
57000,52.1415,3205.6,3747.2,29.9304,1
58000,51.7517,3333.55,3747.2,28.8,1
59000,51.3644,3448.71,3748.02,29.6912,1
60000,50.9798,3465.77,3748.02,29.563,1
61000,50.5984,3165.09,3748.02,29.5508,1
62000,50.2201,4184.97,4186.97,8.85714,0
63000,49.8444,4319.56,4348.15,4.62777,0
64000,49.4711,4428.27,4448.63,4.5,0
65000,49.1011,4439.12,4448.63,5.2,0
66000,48.734,4449.02,4460.12,5.7,0
67000,48.3692,4492.03,4498.67,4.5,0
68000,48.0068,4493.67,4499.67,4.9,0
69000,47.6482,4487.67,4499.67,5.5,0
70000,47.2917,4494.47,4499.67,5.8,0
71000,46.9375,4487.67,4499.67,4.4,0
72000,46.5865,4496.67,4499.67,4.2,0
73000,46.2382,4491.02,4499.67,4.9,0
74000,45.8919,4492.67,4499.67,4.2,0
75000,45.5486,4497.67,4500.67,3.8,0
76000,45.2081,4495.67,4500.67,5.2,0
77000,44.8695,3924.35,4500.67,9.68992,1
78000,44.5338,3543.69,4500.67,25.5319,1
79000,44.2009,3535.43,4500.67,27.533,1
80000,43.8698,3654.08,4500.67,28.1726,1
81000,43.5417,3361.63,4500.67,26.2626,1
82000,43.2162,3478.84,4500.67,30.2158,1
83000,42.8923,3596.05,4500.67,25.6842,1
84000,42.5718,3479.59,4500.67,21.0728,1
85000,42.2533,3526.59,4500.67,31.1274,1
86000,41.9367,2888.53,4500.67,29.7821,1
87000,41.6235,3255.55,4500.67,27.2472,1
88000,41.3117,3336.31,4500.67,26.3499,1
89000,41.0028,3721.93,4500.67,25.9524,1
90000,40.6962,3553.14,4500.67,23.5556,1
91000,40.391,3488.8,4500.67,28.642,1
92000,40.0895,3530.25,4500.67,31.5615,1
93000,39.7892,3484.44,4500.67,26.9521,1
94000,39.4917,3617.81,4500.67,24.8062,1
95000,39.1963,3683.65,4500.67,29.6588,1
96000,38.9026,3705.99,4500.67,23.6407,1
97000,38.6121,3553.61,4500.67,29.3333,1
98000,38.3225,3678.51,4500.67,31.1518,1
99000,38.0364,3455.19,4500.67,19.434,1
100000,37.7515,3361.3,4500.67,19.5358,1
101000,37.4692,3827.77,4500.67,26.4706,1
102000,37.1889,3786.89,4500.67,16.7689,1
103000,36.9104,3716.05,4500.67,26.8687,1
104000,36.6346,3556.47,4500.67,25.4762,1
105000,36.36,3423.77,4500.67,25.7611,1
106000,36.0885,3526.75,4500.67,22.5225,1
107000,35.8177,3734.22,4500.67,21.9417,1
108000,35.5505,3538.19,4500.67,19.4332,1
109000,35.2838,3650.88,4500.67,25.2874,1
110000,35.0205,3499.94,4500.67,25,1
111000,34.7579,3619.54,4500.67,24.4898,1
112000,34.4985,3702.34,4500.67,20.2733,1
113000,34.2397,3735.4,4500.67,20.632,1
114000,33.9842,3509.34,4500.67,16.3743,1
115000,33.7293,3533.44,4500.67,19.0476,1
116000,33.4775,3622.73,4500.67,23.4848,1
117000,33.2264,3786.52,4500.67,23.7852,1
118000,32.9785,3292.58,4500.67,25.3933,1
119000,32.731,3539.62,4500.67,31.6804,1
120000,32.4869,3493.43,4500.67,29.6875,1
121000,32.2429,3651.34,4500.67,26.6491,1
122000,32.0026,3726.2,4500.67,20.332,1
123000,31.7631,3566.22,4500.67,16.5016,1
124000,31.5255,3461.74,4500.67,20.7273,1
125000,31.2896,3669.14,4500.67,21.3457,1
126000,31.0554,3953.38,4500.67,16.5862,1
127000,30.823,3773.31,4500.67,16.6951,1
128000,30.5923,3667.79,4500.67,14.3317,1
129000,30.3634,3728.03,4500.67,17.7331,1
130000,30.1363,3529.38,4500.67,17.7305,1
131000,29.9109,3502.74,4500.67,18.6747,1
132000,29.6872,3477.92,4500.67,18.3824,1
133000,29.465,3571.98,4500.67,23.4091,1
134000,29.2446,3763.91,4500.67,18.3623,1
135000,29.0257,3550.49,4500.67,19.0574,1
136000,28.8084,3367.67,4500.67,20.6818,1
137000,28.5929,3526.11,4500.67,23.3173,1
138000,28.3791,3976.82,4500.67,15.8416,1
139000,28.1668,3665.18,4500.67,22.3451,1
140000,27.9561,3856.18,4500.67,16.5202,1
141000,27.7468,3691.69,4500.67,12.7031,1
142000,27.5391,3710.57,4500.67,20.0426,1
143000,27.3331,3587.01,4500.67,22.6757,1
144000,27.1287,3650.87,4500.67,17.193,1
145000,26.9258,3528.08,4500.67,16.6963,1
146000,26.7242,3724.49,4500.67,20.1581,1
147000,26.5241,3779.68,4500.67,18.3505,1
148000,26.3258,3803.87,4500.67,16.7728,1
149000,26.1289,3817.3,4500.67,18.299,1
150000,25.9334,3882.28,4500.67,14.375,1
151000,25.7392,3912.68,4500.67,13.3226,1
152000,25.5466,4180.65,4500.67,4.21166,0
153000,25.3556,4251.16,4500.67,2.43902,0
154000,25.166,4275.09,4500.67,2.82258,0
155000,24.9775,4273.09,4500.67,3.13131,0
156000,24.7906,4273.84,4500.67,2.61833,0
157000,24.6053,4273.3,4500.67,3.14083,0
158000,24.4212,4272.1,4500.67,3.01811,0
159000,24.2382,4271.1,4500.67,2.11907,0
160000,24.057,4273.3,4500.67,2.71903,0
161000,23.8772,4272.3,4500.67,2.21328,0
162000,23.6984,4271.3,4500.67,2.01207,0
163000,23.521,4274.3,4500.67,2.41206,0
164000,23.3452,4285.09,4500.67,2.61307,0
165000,23.1705,4293.34,4500.67,2.21998,0
166000,22.9969,4294.09,4500.67,2.42424,0
167000,22.8251,4058.23,4500.67,9.10308,1
168000,22.6543,4142.57,4500.67,11.9118,1
169000,22.4845,4041.63,4500.67,10.7812,1
170000,22.3166,4048.82,4500.67,10.8346,1
171000,22.1496,3971.03,4500.67,13.7097,1
172000,21.9836,4086.51,4500.67,11.46,1
173000,21.8194,3877.29,4500.67,14.4674,1
174000,21.6561,3830.58,4500.67,15.3558,1
175000,21.494,4011.41,4500.67,15.0087,1
176000,21.3333,4050.4,4500.67,13.4991,1
177000,21.1735,4201.89,4500.67,11.1987,1
178000,21.0152,4016.48,4500.67,11.9114,1
179000,20.858,4093.58,4500.67,12.7832,1
180000,20.7016,3933.45,4500.67,12.398,1
181000,20.5471,3949.63,4500.67,12.8165,1
182000,20.3933,4308.74,4500.67,7.48731,1
183000,20.2407,4262.59,4500.67,7.14286,1
184000,20.0894,4256.46,4500.67,8.34387,1
185000,19.9387,4233.44,4500.67,9.87179,1
186000,19.7899,3963.57,4500.67,11.1732,1
187000,19.6416,4163.02,4500.67,8.22102,1
188000,19.4948,4294.19,4500.67,9.98613,1
189000,19.3489,4179.17,4500.67,7.71114,1
190000,19.204,4228.42,4500.67,6.40704,1
191000,19.0606,4020.38,4500.67,8.59482,1
192000,18.9175,4186.51,4500.67,10.7973,1
193000,18.7764,4258.03,4500.67,7.51979,1
194000,18.6357,4299.29,4500.67,7.33831,1
195000,18.4964,4309.85,4500.67,6.6242,1
196000,18.358,3973.19,4500.67,9.75293,1
197000,18.2206,4250.38,4500.67,7.52972,1
198000,18.0844,4182.42,4500.67,7.58706,1
199000,17.9489,4107.56,4500.67,7.63359,1
200000,17.8148,4026.18,4500.67,8.52713,1
201000,17.6813,4126.71,4500.67,9.2437,1
202000,17.5492,4280.09,4500.67,6.62162,1
203000,17.4176,4125.36,4500.67,8.51351,1
204000,17.2876,4178.78,4500.67,6.97674,1
205000,17.1579,4139.54,4500.67,8.9779,1
206000,17.0299,4291.96,4500.67,6.35995,1
207000,16.9021,4166.72,4500.67,5.83658,1
208000,16.776,4195.32,4500.67,8.22102,1
209000,16.6501,4125.29,4500.67,8.31234,1
210000,16.5259,4108.69,4500.67,7.52089,1
211000,16.402,4087.84,4500.67,8.75179,1
212000,16.2796,4150.44,4500.67,10.5797,1
213000,16.1575,4136.39,4500.67,8.02139,1
214000,16.0369,4353.94,4500.67,6.94626,1
215000,15.9169,4435.24,4500.67,6.01399,1
216000,15.7977,4362.64,4500.67,7.81457,1
217000,15.6795,4357.16,4500.67,4.81771,1
218000,15.5622,4213.75,4500.67,7.55177,1
219000,15.4458,4278.84,4500.67,5.85938,1
220000,15.3303,4268.33,4500.67,6.61765,1
221000,15.2156,4213.72,4500.67,7.89474,1
222000,15.1018,4276.82,4500.67,6.10501,1
223000,14.9888,4301.29,4500.67,6.63957,1
224000,14.8766,4294.3,4500.67,7.0028,1
225000,14.7653,4304.88,4500.67,6.64928,1
226000,14.6547,4235.15,4500.67,6.75159,1
227000,14.5451,4327.68,4500.67,5.99022,1
228000,14.4363,4306.04,4500.67,6.91004,1
229000,14.3283,4210.92,4500.67,6.55941,1
230000,14.2211,4200.49,4500.67,7.53512,1
231000,14.1147,4188.07,4500.67,5.75843,1
232000,14.0091,4230.03,4500.67,6.29921,1
233000,13.9042,4204.93,4500.67,5.49296,1
234000,13.8002,4179.83,4500.67,7.07214,1
235000,13.697,4279.18,4500.67,6.89655,1
236000,13.5946,4232.14,4500.67,5.55556,1
237000,13.4928,4234.57,4500.67,7.57381,1
238000,13.3918,4351.25,4500.67,5.06799,1
239000,13.2916,4133.06,4500.67,6.28931,1
240000,13.1922,4276.55,4500.67,5.75448,1
241000,13.0935,4339.09,4500.67,5.95948,1
242000,12.9955,4268.84,4500.67,5.84416,1
243000,12.8982,4233.13,4500.67,5.48469,1
244000,12.8018,4184.05,4500.67,5.9126,1
245000,12.7061,4224.31,4500.67,6.73317,1
246000,12.6109,4196.07,4500.67,7.80423,1
247000,12.5165,4214.27,4500.67,5.38058,1
248000,12.423,4254.72,4500.67,6.67522,1
249000,12.33,4231.82,4500.67,7.72105,1
250000,12.2377,4162.88,4500.67,6.17284,1
251000,12.1461,4290.81,4500.67,5.50336,1
252000,12.0553,4208.08,4500.67,6.49867,1
