it,temp,actualQ,bestQ,pAvg,diversification
1000,19.979,3827.45,3827.45,20.3655,1
2000,19.9581,3728.25,3838.25,10.1493,1
3000,19.9371,3611.36,3838.25,11.6667,1
4000,19.9161,3629.98,3838.25,12.7389,1
5000,19.8951,3715.33,3838.25,10.0275,1
6000,19.8741,3781.04,3838.25,11.1441,1
7000,19.8532,3751.14,3852.06,8.91632,1
8000,19.8322,3645.66,3925.74,11.8827,1
9000,19.8112,3910.87,3950.11,11.8859,1
10000,19.7902,4049.65,4049.65,6.56325,1
11000,19.7692,3965.57,4079.11,6.90045,1
12000,19.7497,3911.28,4079.11,8.54093,1
13000,19.7307,3967.29,4079.11,9.58084,1
14000,19.7116,3770.47,4079.11,9.12548,1
15000,19.6925,3761.12,4079.11,9.06863,1
16000,19.6735,3705.42,4079.11,10.143,1
17000,19.6544,3839.61,4079.11,9.62773,1
18000,19.6353,3920.57,4079.11,9.41476,1
19000,19.6162,3895.39,4079.11,9.89446,1
20000,19.5972,3705.06,4079.11,7.89779,1
21000,19.5781,3845.14,4079.11,7.89809,1
22000,19.559,3907.75,4079.11,8.77404,1
23000,19.5399,3861.67,4079.11,9.44882,1
24000,19.5209,3968.36,4079.11,7.98935,1
25000,19.5018,3919.42,4079.11,8.05627,1
26000,19.4827,3827.74,4079.11,10.365,1
27000,19.4636,4006.68,4079.11,9.48052,1
28000,19.4446,3842.16,4079.11,9.67742,1
29000,19.4255,3972.43,4079.11,7.33173,1
30000,19.4064,3947.2,4079.11,8.20895,1
31000,19.3874,3758.57,4079.11,10.1408,1
32000,19.3683,3913.39,4079.11,9.16553,1
33000,19.3492,3862.7,4079.11,11.1409,1
34000,19.3301,3878.87,4079.11,9.07781,1
35000,19.3111,3884.53,4079.11,10.2256,1
36000,19.292,3758.81,4079.11,13.8989,1
37000,19.2729,3874.36,4079.11,19.9413,1
38000,19.2538,3912.97,4079.11,18.9944,1
39000,19.2348,4171.19,4220.49,11.6505,1
40000,19.2157,4129.45,4220.49,7.07434,1
41000,19.1966,4007.42,4220.49,7.29295,1
42000,19.1775,4100,4220.49,7.42138,1
43000,19.1585,4118.14,4220.49,7.875,1
44000,19.1394,4114.34,4220.49,6.65845,1
45000,19.1203,4001.91,4220.49,9.00662,1
46000,19.1012,4070.89,4220.49,7.24466,1
47000,19.0822,4128.35,4220.49,6.75991,1
48000,19.0631,4113.66,4221.4,8.25472,1
49000,19.044,3965.54,4221.4,9.49868,1
50000,19.025,3897.72,4221.4,9.06769,1
51000,19.0059,3968.57,4221.4,10.0796,1
52000,18.9868,4011.51,4221.4,8.74674,1
53000,18.9677,4023.83,4221.4,8.37766,1
54000,18.9487,4053.81,4221.4,8.57503,1
55000,18.9296,3980.56,4221.4,9.34466,1
56000,18.9105,4181,4221.4,7.41206,1
57000,18.8914,4066.99,4225.87,6.96452,1
58000,18.8724,4165.03,4226.54,6.18812,1
