it,temp,actualQ,bestQ,pAvg,diversification
1000,79.3645,2665.6,2981.5,43.6533,1
2000,78.7322,2858.56,3072.16,42.2222,1
3000,78.1066,3094.79,3257.57,42.1053,1
4000,77.4855,2982.14,3391.01,38.7812,1
5000,76.8679,3201.53,3425.48,40.2778,1
6000,76.2575,3181.08,3494,37.2159,1
7000,75.6508,3165.39,3567.55,35.9649,1
8000,75.0481,3285.55,3567.55,36.9318,1
9000,74.4522,3236.46,3567.55,41.3462,1
10000,73.8593,3451.06,3647.21,36.2069,1
11000,73.2719,3016.09,3722.91,37.971,1
12000,72.6895,2993.1,3722.91,38.3152,1
13000,72.1097,3113.41,3722.91,38.206,1
14000,71.5375,3264.92,3722.91,36.4458,1
15000,70.968,3054.69,3722.91,33.9523,1
16000,70.4034,2957.53,3722.91,38.539,1
17000,69.8438,2921.38,3722.91,40.6627,1
18000,69.2869,2986.74,3722.91,39.2442,1
19000,68.7371,2974.77,3722.91,36.5269,1
20000,68.1893,3230.73,3722.91,34.5088,1
21000,67.6476,3201.21,3722.91,35.989,1
22000,67.1093,3078.64,3722.91,41.3043,1
23000,66.5752,3177.05,3722.91,33.8667,1
24000,66.0461,3148.73,3722.91,35.6495,1
25000,65.5197,3015.8,3722.91,34.2857,1
26000,64.9996,3253.44,3722.91,34.7222,1
27000,64.4808,2969.07,3722.91,36.5385,1
28000,63.9696,2707.91,3722.91,42.4242,1
29000,63.4607,2808.04,3722.91,43.695,1
30000,62.9558,2832.52,3722.91,41.2338,1
31000,62.455,2780.86,3722.91,37.2671,1
32000,61.9581,2918.83,3722.91,40.6627,1
33000,61.4652,3051.93,3722.91,38.8693,1
34000,60.9762,2974.89,3722.91,37.0757,1
35000,60.4911,3139.66,3722.91,36.7876,1
36000,60.0098,3097.4,3722.91,36.3363,1
37000,59.5324,3513.2,3734.51,31.7829,1
38000,59.0589,3332.22,3734.51,36.4384,1
39000,58.5891,3435.27,3734.51,32.6347,1
40000,58.123,3166.25,3734.51,31.3107,1
41000,57.6607,3370.35,3734.51,35.2632,1
42000,57.202,3452.56,3736.63,31.8538,1
43000,56.747,3118.41,3736.63,33.8462,1
44000,56.2956,3056.16,3736.63,38.0328,1
45000,55.8478,3395.14,3736.63,33.6043,1
46000,55.4035,3210.62,3736.63,33.8028,1
47000,54.9627,2768.31,3736.63,32.2188,1
48000,54.5255,3175.18,3736.63,33.5106,1
49000,54.0916,3167.02,3736.63,36.9906,1
50000,53.6612,3177.99,3736.63,36.7284,1
51000,53.2341,3160.29,3736.63,38.7574,1
52000,52.8107,2914.06,3736.63,30.3571,1
53000,52.3908,3152.3,3736.63,32.3034,1
54000,51.9741,2904.85,3736.63,33.0709,1
55000,51.5607,3091.74,3736.63,36.9427,1
56000,51.1505,2841.82,3736.63,37.3134,1
57000,50.7435,3147.17,3736.63,33.6842,1
58000,50.3396,2674.43,3736.63,38.79,1
59000,49.9391,3100.86,3736.63,34.9594,1
60000,49.5421,3093.95,3736.63,38.1471,1
61000,49.1481,2695.9,3736.63,40.2204,1
62000,48.7571,2939.21,3736.63,32.9513,1
63000,48.3691,2925.05,3736.63,34.6154,1
64000,47.984,3267.58,3736.63,32.4324,1
65000,47.6025,3156.65,3736.63,36.7273,1
66000,47.2241,2968.5,3736.63,32.381,1
67000,46.8484,3272.67,3736.63,37.5451,1
68000,46.4755,3226.77,3736.63,33.9934,1
69000,46.1055,3499.08,3736.63,33.5025,1
70000,45.7391,3430.08,3761.68,21.6374,1
71000,45.3754,3334.15,3761.68,26.7544,1
72000,45.0143,3624.05,3881.35,26.3636,1
73000,44.6557,3298,3881.35,28.5714,1
74000,44.3009,3482.28,3881.35,34.7059,1
75000,43.9486,3223.97,3881.35,38.75,1
76000,43.5988,3457.63,3881.35,36.8715,1
77000,43.2517,3265.17,3881.35,33.7176,1
78000,42.9081,3271.34,3881.35,31.1653,1
79000,42.5667,3423.66,3881.35,40.8955,1
80000,42.2277,3348.3,3881.35,37.037,1
81000,41.892,2931.15,3881.35,36.3914,1
82000,41.559,3361.84,3881.35,36.9681,1
83000,41.2281,3264.05,3881.35,38.5269,1
84000,40.9,3223.58,3881.35,35.7988,1
85000,40.575,3242.6,3881.35,31.1728,1
86000,40.252,3298.69,3881.35,33.2353,1
87000,39.9316,3242.8,3881.35,34.6821,1
88000,39.6144,3168.3,3881.35,31.2865,1
89000,39.299,3017.35,3881.35,35.8333,1
90000,38.9862,3087.13,3881.35,31.9218,1
91000,38.6765,3627.99,3881.35,30.1994,1
92000,38.3685,3380.12,3881.35,30.6748,1
93000,38.0633,3406.02,3881.35,34.1693,1
94000,37.7608,3233.38,3881.35,30.4,1
95000,37.4598,3405.02,3881.35,29.6912,1
96000,37.1623,3672.08,3881.35,31.2958,1
97000,36.8667,3618.32,3881.35,23.7069,1
98000,36.5729,3643.37,3956.49,23.3129,1
99000,36.2826,3404.33,3956.49,27.8846,1
100000,35.9935,3448.82,3956.49,27.1955,1
101000,35.7074,3339.62,3956.49,30.4233,1
102000,35.4235,3542.46,3956.49,23.1076,1
103000,35.1412,3701.61,3956.49,13.2132,1
104000,34.8622,3884.84,4042.06,14.0805,1
105000,34.5843,3974.9,4048.71,14.3101,1
106000,34.3097,3620.34,4048.71,19.6393,1
107000,34.0366,4014.46,4049.16,18.8216,1
108000,33.7657,3847.15,4113.48,14.202,1
109000,33.4974,3636.58,4113.48,21.8504,1
110000,33.2304,3773.52,4113.48,19.295,1
111000,32.9666,3932.93,4113.48,19.0141,1
112000,32.7036,3769.26,4113.48,15.192,1
113000,32.4442,3811.58,4113.48,17.8253,1
