it,temp,actualQ,bestQ,pAvg,diversification
1000,79.4023,2665.6,2981.5,43.6533,1
2000,78.8072,2858.56,3072.16,42.2222,1
3000,78.2187,3094.79,3257.57,42.1053,1
4000,77.6323,2982.14,3391.01,38.7812,1
5000,77.0525,3201.53,3425.48,40.2778,1
6000,76.4756,3181.08,3494,37.2159,1
7000,75.9034,3165.39,3567.55,35.9649,1
8000,75.3359,3285.55,3567.55,36.9318,1
9000,74.7713,3236.46,3567.55,41.3462,1
10000,74.213,3451.06,3647.21,36.2069,1
11000,73.656,3016.09,3722.91,37.971,1
12000,73.1066,3212.8,3722.91,40.0612,1
13000,72.5584,3120.86,3722.91,39.8524,1
14000,72.0167,3321.96,3722.91,38.6581,1
15000,71.477,2964.85,3722.91,38.6598,1
16000,70.943,3205.75,3722.91,41.6974,1
17000,70.4117,3222.54,3722.91,34.9462,1
18000,69.8853,3167.99,3722.91,38.0435,1
19000,69.3621,3468.45,3722.91,34.2857,1
20000,68.8433,3496.11,3722.91,36.1823,1
21000,68.3282,2898.79,3722.91,33.5165,1
22000,67.817,3132.81,3722.91,37.2781,1
23000,67.3096,2878.68,3722.91,41.6667,1
24000,66.806,3114.39,3722.91,33.2425,1
25000,66.3061,2974.51,3722.91,36.9565,1
26000,65.8102,2644.5,3722.91,38.2609,1
27000,65.3175,3197.32,3722.91,37.2549,1
28000,64.8292,3288.7,3722.91,37.9939,1
29000,64.3435,3206.51,3722.91,34.7222,1
30000,63.8629,3013.91,3722.91,33.913,1
31000,63.3851,3221.83,3722.91,35.8537,1
32000,62.9109,3236.94,3722.91,32.687,1
33000,62.4402,3213.32,3722.91,29.6296,1
34000,61.9731,3324.45,3722.91,32.2335,1
35000,61.5094,3201.26,3722.91,27.8912,1
36000,61.0491,3353.57,3722.91,35.7357,1
37000,60.5922,3303.56,3722.91,35.7143,1
38000,60.1387,3640.08,3747.2,34,1
39000,59.6886,3116.28,3747.2,31.0748,1
40000,59.2422,3394.11,3747.2,35.2751,1
41000,58.7991,3221.28,3747.2,35.493,1
42000,58.3593,3267.28,3747.2,33.8753,1
43000,57.9226,3299.57,3747.2,33.0709,1
44000,57.4892,3509.15,3747.2,32.5733,1
45000,57.0589,3410.85,3747.2,39.1753,1
46000,56.6317,3051.37,3747.2,32.2581,1
47000,56.2082,3531.23,3747.2,36.5031,1
48000,55.7879,3390.25,3747.2,31.7422,1
49000,55.3705,3117.06,3747.2,40.2135,1
50000,54.9562,3207.04,3747.2,35.5932,1
51000,54.5447,2962.02,3747.2,40.5751,1
52000,54.1366,3213.18,3747.2,36.0248,1
53000,53.7318,3141.26,3747.2,36.5854,1
54000,53.3299,3099.63,3747.2,38.6667,1
55000,52.9308,3348.05,3747.2,33.1269,1
56000,52.5344,3591.63,3747.2,29.0909,1
57000,52.1415,3205.6,3747.2,29.9304,1
58000,51.7517,3333.55,3747.2,28.8,1
59000,51.3644,3448.71,3748.02,29.6912,1
60000,50.9798,3465.77,3748.02,29.563,1
61000,50.5984,3165.09,3748.02,29.5508,1
62000,50.2201,3397.15,3748.02,30.6283,1
63000,49.8444,3042.09,3748.02,32.3288,1
64000,49.4711,3308.52,3748.02,30.9392,1
65000,49.1011,3316.59,3748.02,31.9865,1
66000,48.734,3345.23,3748.02,31.4208,1
67000,48.3692,3139.54,3748.02,32.5269,1
68000,48.0068,3257.24,3748.02,30.8901,1
69000,47.6482,3289.67,3748.02,32.3171,1
70000,47.2917,3456.87,3748.02,30.6849,1
71000,46.9375,3416.35,3748.02,32.1526,1
72000,46.5865,3458.99,3748.02,34.5029,1
73000,46.2382,3334.74,3748.02,33.7621,1
74000,45.8919,3515.46,3750.69,26.2873,1
75000,45.5486,3680.52,3889.79,24.6851,1
76000,45.2081,3746.68,3889.79,28.3379,1
77000,44.8695,3783.82,3889.79,23.9075,1
78000,44.5338,3450.33,3889.79,25.5365,1
79000,44.2009,3559.88,3889.79,25.9259,1
80000,43.8698,3651.27,3889.79,31.7881,1
81000,43.5417,3477.4,3889.79,30.2949,1
82000,43.2162,3410.83,3889.79,26.4789,1
83000,42.8923,3464.81,3889.79,23.1203,1
84000,42.5718,3559.68,3889.79,22.5152,1
85000,42.2533,3554.63,3889.79,27.7778,1
86000,41.9367,3322.8,3889.79,29.2683,1
87000,41.6235,3602.08,3889.79,32.1526,1
88000,41.3117,3576.06,3889.79,29.0909,1
89000,41.0028,3412.29,3889.79,31.9328,1
90000,40.6962,3518.09,3889.79,23.5294,1
91000,40.391,3440.23,3889.79,27.0142,1
92000,40.0895,3260.77,3889.79,26.8409,1
93000,39.7892,3417.04,3891.54,30.5263,1
94000,39.4917,3413.26,3891.54,33.3333,1
95000,39.1963,3486.85,3891.54,25.5494,1
96000,38.9026,3836.63,4032.11,20.4887,1
97000,38.6121,3730.18,4032.11,28.1174,1
98000,38.3225,3614.33,4032.11,25.7403,1
99000,38.0364,3501.7,4032.11,32.6478,1
100000,37.7515,3446.75,4032.11,30.6785,1
101000,37.4692,3240.34,4032.11,28.1159,1
102000,37.1889,3261.29,4032.11,33.1169,1
103000,36.9104,3697.26,4032.11,25.5,1
104000,36.6346,3662.86,4032.11,15.942,1
105000,36.36,3647.66,4032.11,20,1
106000,36.0885,3673.31,4032.11,22.2222,1
107000,35.8177,3280.51,4032.11,24.295,1
108000,35.5505,3299.69,4032.11,25.5422,1
109000,35.2838,3624.05,4032.11,23.0444,1
110000,35.0205,3904.25,4032.11,15.3966,1
111000,34.7579,3901.29,4032.11,18.4109,1
112000,34.4985,3610.61,4032.11,22.4568,1
113000,34.2397,3514.28,4032.11,21.3992,1
114000,33.9842,3826.68,4084.4,17.851,1
115000,33.7293,3954.6,4111.48,12.3179,1
116000,33.4775,3857.24,4111.48,18.251,1
117000,33.2264,3789.29,4111.48,15.6303,1
118000,32.9785,3776.29,4111.48,17.4757,1
119000,32.731,3543.78,4111.48,17.4812,1
120000,32.4869,3475.42,4111.48,27.4667,1
121000,32.2429,3478.72,4111.48,25.8398,1
122000,32.0026,3901.12,4111.48,16.1074,1
123000,31.7631,3746.54,4111.48,17.5862,1
124000,31.5255,3767.58,4111.48,14.5957,1
125000,31.2896,3669.86,4111.48,21.4953,1
126000,31.0554,3670.49,4111.48,20.6681,1
127000,30.823,3709.6,4111.48,17.0732,1
128000,30.5923,3920.42,4111.48,16.0959,1
129000,30.3634,3801.2,4111.48,20.8054,1
130000,30.1363,3775.01,4111.48,19.3798,1
131000,29.9109,3775.49,4111.48,21.3307,1
132000,29.6872,3899.68,4111.48,19.7065,1
133000,29.465,3455.6,4111.48,19.633,1
134000,29.2446,4030.11,4111.48,9.60219,0
135000,29.0257,4307.37,4313.37,4.50734,0
136000,28.8084,4350.54,4351.54,4.54545,0
137000,28.5929,4396.79,4401.54,3.31325,0
138000,28.3791,4402.52,4405.79,3.30661,0
139000,28.1668,4402.79,4408.79,3.01508,0
140000,27.9561,4403.47,4408.79,3.11871,0
141000,27.7468,4394.47,4408.79,3.31992,0
142000,27.5391,4390.47,4408.79,3.22256,0
143000,27.3331,4382.74,4408.79,3.64004,0
144000,27.1287,4397.52,4408.79,3.72233,0
145000,26.9258,4401.47,4410.79,3.71859,0
146000,26.7242,4399.74,4410.79,2.92044,0
147000,26.5241,4404.79,4410.79,3.81526,0
148000,26.3258,4400.27,4410.79,4.72837,0
149000,26.1289,4397.47,4410.79,3.21932,0
150000,25.9334,4402.79,4410.79,3.31992,0
151000,25.7392,4406.79,4411.79,2.6026,0
152000,25.5466,4401.79,4411.79,3.32326,0
153000,25.3556,4394.54,4411.79,3.21285,0
154000,25.166,4408.52,4411.79,4.32596,0
155000,24.9775,4406.74,4411.79,3.52823,0
156000,24.7906,4404.52,4411.79,3.51759,0
157000,24.6053,4408.07,4411.79,2.72177,0
158000,24.4212,4398.74,4411.79,4.61847,0
159000,24.2382,4402.79,4411.79,2.90873,0
160000,24.057,4407.52,4411.79,3.41365,0
161000,23.8772,4404.52,4411.79,2.61833,0
162000,23.6984,4385.79,4411.79,3.81526,0
163000,23.521,4406.74,4411.79,2.80843,0
164000,23.3452,4125.16,4411.79,5.90319,1
165000,23.1705,4102.1,4411.79,10.8289,1
166000,22.9969,4066.86,4411.79,11.2994,1
167000,22.8251,3883.33,4411.79,13.8264,1
168000,22.6543,4056.27,4411.79,12.2257,1
169000,22.4845,3893.13,4411.79,12.4378,1
170000,22.3166,4060.69,4411.79,8.27943,1
171000,22.1496,4165.3,4411.79,8,1
172000,21.9836,4073.7,4411.79,7.92602,1
173000,21.8194,3991.36,4411.79,9.45776,1
174000,21.6561,4004.54,4411.79,10.4312,1
175000,21.494,4151.18,4411.79,9.73236,1
176000,21.3333,4177.33,4411.79,8.24242,1
177000,21.1735,3886.36,4411.79,9.40893,1
178000,21.0152,4043.9,4411.79,12.9129,1
179000,20.858,4149.07,4411.79,9.83182,1
180000,20.7016,4032.41,4411.79,8.81273,1
181000,20.5471,4145.36,4411.79,8.88889,1
182000,20.3933,4167,4411.79,9.33852,1
183000,20.2407,4125.51,4411.79,10.3704,1
184000,20.0894,4054.49,4411.79,9.51123,1
185000,19.9387,3986.69,4411.79,7.87208,1
186000,19.7899,4093.05,4411.79,7.43405,1
187000,19.6416,4098.6,4411.79,7.71084,1
188000,19.4948,4010.69,4411.79,9.93939,1
189000,19.3489,4007.19,4411.79,9.64187,1
190000,19.204,3925.98,4411.79,10.0386,1
191000,19.0606,4063.15,4411.79,9.73333,1
192000,18.9175,3814.87,4411.79,9.97375,1
193000,18.7764,4072.12,4411.79,9.6577,1
194000,18.6357,3963.52,4411.79,9.90991,1
195000,18.4964,4198.87,4411.79,8.34403,1
196000,18.358,4045.04,4411.79,10.4809,1
197000,18.2206,4068.37,4411.79,9.42029,1
198000,18.0844,4126.67,4411.79,9.12647,1
199000,17.9489,3961.22,4411.79,9.55497,1
200000,17.8148,4143.08,4411.79,9.00123,1
201000,17.6813,4086.17,4411.79,8.125,1
202000,17.5492,4150.84,4411.79,8.24108,1
203000,17.4176,4209.07,4411.79,8.0148,1
204000,17.2876,4157.67,4411.79,9.27711,1
205000,17.1579,4119.28,4411.79,10.989,1
206000,17.0299,4254.77,4411.79,6.86747,1
207000,16.9021,4108.45,4411.79,7.30816,1
208000,16.776,4102.56,4411.79,8.86427,1
209000,16.6501,4124.44,4411.79,8.57558,1
210000,16.5259,4075.19,4411.79,7.49064,1
211000,16.402,4106.01,4411.79,8.68984,1
212000,16.2796,4131.83,4411.79,10.4478,1
213000,16.1575,4237.79,4411.79,6.97674,1
214000,16.0369,4237.91,4411.79,8.47222,1
215000,15.9169,4082.73,4411.79,8.34553,1
216000,15.7977,4066.7,4411.79,7.11297,1
217000,15.6795,4148.71,4411.79,9.15594,1
218000,15.5622,4102.26,4411.79,8.03213,1
219000,15.4458,4124.77,4411.79,6.79739,1
220000,15.3303,4169.32,4411.79,8.35694,1
221000,15.2156,4219.4,4411.79,7.24095,1
222000,15.1018,4222.66,4411.79,7.90464,1
223000,14.9888,4140.48,4411.79,6.70038,1
224000,14.8766,4140.9,4411.79,7.27497,1
225000,14.7653,4135.71,4411.79,8.90244,1
226000,14.6547,4172.2,4411.79,7.0632,1
227000,14.5451,4212.87,4411.79,6.80908,1
228000,14.4363,4320.98,4411.79,7.03704,1
229000,14.3283,4298.52,4411.79,5.58252,1
230000,14.2211,4342.32,4411.79,6.18182,1
231000,14.1147,4158.38,4411.79,8.05031,1
232000,14.0091,4231.49,4411.79,7.30769,1
233000,13.9042,4255.02,4411.79,7.73956,1
234000,13.8002,4225.87,4411.79,6.80437,1
235000,13.697,4229.83,4411.79,7.63098,1
236000,13.5946,4192.7,4411.79,8.26245,1
237000,13.4928,4217.48,4411.79,6.93928,1
238000,13.3918,4227.39,4411.79,5.40541,1
239000,13.2916,4168.58,4411.79,8.24108,1
240000,13.1922,4203.52,4411.79,6.46766,1
241000,13.0935,4247.69,4411.79,8.30091,1
242000,12.9955,4206.49,4411.79,6.94444,1
243000,12.8982,4298.92,4411.79,6.17284,1
244000,12.8018,4287.02,4411.79,5.26316,1
245000,12.7061,4192.44,4411.79,6.82635,1
246000,12.6109,4269.02,4411.79,7.06456,1
247000,12.5165,4347.69,4411.79,5.18868,1
248000,12.423,4211.71,4411.79,6.53514,1
249000,12.33,4315.85,4411.79,7.68335,1
250000,12.2377,4371.68,4417.75,5.83127,1
251000,12.1461,4278.38,4417.75,6.30517,1
252000,12.0553,4338.02,4417.75,5.75374,1
