it,temp,actualQ,bestQ,pAvg,diversification
1000,29.8502,2838.66,3250.56,31.1688,1
2000,29.7014,3313.72,3391.77,28.7197,1
3000,29.5526,3618.24,3672.74,19.3018,1
4000,29.4054,3457.36,3687.67,20.1581,1
5000,29.2585,3686.1,4019.45,11.2376,1
6000,29.1121,3687.46,4058.16,16.6667,1
7000,28.9671,3459.36,4058.16,24.734,1
8000,28.8221,3723.45,4111.62,19.633,1
9000,28.6783,3883.84,4111.62,17.907,1
10000,28.5352,3967.17,4111.62,14.6168,1
11000,28.3922,3853.96,4111.62,15.7321,1
12000,28.2509,3781.67,4111.62,15.7895,1
13000,28.1098,3714.51,4111.62,16.0596,1
14000,27.969,3887.47,4111.62,11.2923,1
15000,27.8298,3851.49,4111.62,12.2324,1
16000,27.6906,3662.53,4111.62,14.3084,1
17000,27.5523,3816.19,4111.62,14.8903,1
18000,27.4149,3688.31,4111.62,13.8564,1
19000,27.2776,3799.59,4111.62,17.5926,1
20000,27.1416,3755.99,4111.62,14.7783,1
21000,27.0062,3781.64,4111.62,16.3511,1
22000,26.8708,3721.28,4111.62,17.1735,1
23000,26.7371,3767.14,4111.62,15.2475,1
24000,26.6036,3628.06,4111.62,19.4704,1
25000,26.4701,3822.91,4111.62,17.6672,1
26000,26.3385,3925.08,4111.62,14.4201,1
27000,26.2069,3757.72,4111.62,14.1966,1
28000,26.0756,3779.95,4111.62,20.075,1
29000,25.9459,3813.72,4111.62,15.1466,1
30000,25.8162,3891.54,4111.62,14.2649,1
31000,25.6869,3830.55,4111.62,11.8943,1
32000,25.5591,3714.31,4111.62,12.828,1
33000,25.4313,3701.08,4111.62,16.6957,1
34000,25.304,3803.41,4111.62,13.8434,1
35000,25.1781,3744.83,4111.62,14.9123,1
36000,25.0522,3719.32,4111.62,19.7183,1
37000,24.9267,3836.61,4111.62,17.3307,1
38000,24.8027,3922.16,4111.62,9.88297,1
39000,24.6788,3925.53,4111.62,10.7672,1
40000,24.555,3519.77,4111.62,11.4894,1
41000,24.433,3926.57,4111.62,9.84529,1
42000,24.3109,3698.35,4111.62,18.2674,1
43000,24.1889,3641.33,4111.62,16.2745,1
44000,24.0687,3939.74,4111.62,12.7243,1
45000,23.9485,3829.59,4111.62,10.6825,1
46000,23.8284,3848.81,4238.29,10.4956,1
47000,23.7098,3639.9,4238.29,11.8976,1
48000,23.5916,3756.86,4238.29,15.2397,1
49000,23.4733,3741.29,4238.29,13.2716,1
50000,23.3562,3703.42,4238.29,10.9017,1
51000,23.2399,3878.49,4238.29,9.48276,1
52000,23.1235,3946.08,4238.29,16.3934,1
53000,23.0078,4027.78,4238.29,17.1484,1
54000,22.8934,3992.58,4238.29,9.15935,1
55000,22.779,4065.53,4238.29,11.0821,1
56000,22.6646,4132.17,4238.29,10.2857,1
57000,22.552,4051.98,4238.29,13.142,1
58000,22.4395,4057.24,4238.29,9.23077,1
59000,22.327,4199.99,4238.29,11.008,1
60000,22.2156,4080.33,4350.32,9.57711,1
61000,22.105,4132.72,4350.32,7.55814,1
62000,21.9944,4118.53,4350.32,13.3127,1
63000,21.8841,3999.68,4350.32,9.35252,1
64000,21.7754,3798.37,4350.32,13.1148,1
65000,21.6667,3919.96,4350.32,10.929,1
66000,21.558,4006.45,4350.32,10.9948,1
67000,21.4505,3980.37,4350.32,10.4167,1
68000,21.3437,3904.99,4350.32,14.2405,1
69000,21.2369,4048.79,4350.32,9.86842,1
70000,21.1303,4165.21,4350.32,9.68523,1
71000,21.0254,4256.23,4350.32,10.4403,1
72000,20.9205,4100.59,4350.32,9.69773,1
73000,20.8156,4236.62,4350.32,8.38396,1
74000,20.7116,3871.26,4350.32,11.3103,1
75000,20.6086,4163.38,4350.32,10.1626,1
76000,20.5057,4066.14,4350.32,7.92208,1
77000,20.4027,4132.15,4350.32,11.6071,1
78000,20.3012,3947.08,4350.32,13.0303,1
79000,20.2001,3975.58,4350.32,11.3372,1
80000,20.099,4124.83,4350.32,9.77242,1
81000,19.9979,3873.2,4350.32,11.3669,1
82000,19.8988,3909.2,4350.32,10.0139,1
83000,19.7996,4064.01,4350.32,8.88078,1
84000,19.7004,4075.78,4350.32,10.3832,1
