it,temp,actualQ,bestQ,pAvg,diversification
1000,29.7757,2838.66,3250.56,31.1688,1
2000,29.5529,3313.72,3391.77,28.7197,1
3000,29.3316,3618.24,3672.74,19.3018,1
4000,29.1123,3842.97,3901.83,19.3669,1
5000,28.8945,3505.16,3901.83,16.5869,1
6000,28.6784,3834.77,3983.02,12.0219,1
7000,28.4638,3829.33,4027.12,12.8797,1
8000,28.2508,3742.26,4027.12,18.1648,1
9000,28.0393,3669.11,4027.12,21.4458,1
10000,27.8295,3488.74,4027.12,25.6338,1
11000,27.6214,3570.92,4027.12,29.5213,1
12000,27.4148,3471.05,4027.12,27.2727,1
13000,27.2097,3558.6,4027.12,28.9474,1
14000,27.006,3506.2,4027.12,24.7813,1
15000,26.8038,3848.76,4041.41,16.3833,1
16000,26.6034,3950.95,4070.78,12.4836,1
17000,26.4045,3835.96,4070.78,12.4629,1
18000,26.2069,3805.49,4070.78,17.6157,1
19000,26.0106,3890.46,4070.78,15.7895,1
20000,25.8161,4066.87,4070.78,11.6547,1
21000,25.6231,4102.07,4155.19,9.25926,1
22000,25.4313,3905.31,4155.19,10.4252,1
23000,25.2409,3863.51,4155.19,11.9403,1
24000,25.0521,4103.61,4155.19,8.47222,1
25000,24.8648,3992.75,4155.19,9.79689,1
26000,24.6787,3866.37,4155.19,11.0969,1
27000,24.4938,4038.67,4155.19,10.8179,1
28000,24.3107,3826.6,4155.19,12.1805,1
29000,24.1289,3959.59,4155.19,10.9705,1
30000,23.9483,3823.16,4155.19,9.45946,1
31000,23.769,3855.84,4155.19,12.5589,1
32000,23.5914,3645.99,4155.19,16.9643,1
33000,23.4148,3687.2,4155.19,14.3066,1
34000,23.2394,3749.78,4155.19,15.8348,1
35000,23.0658,3802.02,4155.19,10.9317,1
36000,22.8932,3576.31,4155.19,12.9032,1
37000,22.7216,3786.67,4155.19,13.2394,1
38000,22.5519,3905.91,4155.19,11.7274,1
39000,22.3832,3990,4155.19,8.9838,1
40000,22.2154,3895.09,4155.19,10.5479,1
41000,22.0495,3868.04,4155.19,8.01068,1
42000,21.8845,3923.72,4155.19,11.125,1
43000,21.7205,3871.02,4155.19,11.9155,1
44000,21.5583,3847.87,4155.19,9.07912,1
45000,21.3969,3899.45,4155.19,13.5747,1
46000,21.2367,3621.19,4155.19,10.1299,1
47000,21.078,3922.01,4155.19,11.4833,1
48000,20.9201,3869.96,4155.19,9.58549,1
49000,20.7637,4178.33,4190.16,12.0344,1
50000,20.6084,3935.93,4190.16,10.105,1
51000,20.4539,4120.73,4190.16,10.3152,1
52000,20.3012,4077.05,4190.16,9.23077,1
53000,20.1492,4091.41,4190.16,9.65517,1
54000,19.9985,4086.96,4190.16,10.6618,1
55000,19.8489,3967.99,4190.16,9.75309,1
56000,19.7001,4140.34,4190.16,7.5846,1
57000,19.553,3998.33,4190.16,10.1828,1
58000,19.4065,4010.43,4190.16,12.5596,1
59000,19.2615,3955.92,4190.16,11.0457,1
60000,19.1173,4069.38,4190.16,10.3316,1
61000,18.9743,3847.81,4190.16,10.5048,1
62000,18.8324,3971.17,4190.16,11.0799,1
63000,18.6913,3914.11,4190.16,9.3199,1
64000,18.5517,4018.28,4190.16,9.91432,1
65000,18.4125,4103.87,4190.16,9.40055,1
66000,18.2751,3972.43,4211.98,6.08273,1
67000,18.1381,3977.81,4211.98,7.36715,1
68000,18.0027,4021.95,4211.98,8.18071,1
69000,17.8678,4154.1,4211.98,7.60736,1
70000,17.7343,4106.6,4211.98,6.84932,1
71000,17.6015,4111.56,4211.98,7.32601,1
72000,17.4699,4097.03,4211.98,6.66667,1
73000,17.3391,4185.01,4244.32,7.16846,1
74000,17.2094,4129.87,4268.92,7.18711,1
75000,17.0806,4138.98,4268.92,6.86391,1
76000,16.9528,4055.65,4268.92,9.06702,1
77000,16.826,4189.37,4268.92,7.8478,1
78000,16.7001,4097.14,4268.92,7.55608,1
79000,16.5751,4157.57,4268.92,6.3591,1
80000,16.4512,4127.67,4268.92,8.07963,1
81000,16.328,3984.25,4268.92,6.82081,1
82000,16.2059,4005.84,4268.92,6.90909,1
83000,16.0845,4213.95,4268.92,8.71731,1
84000,15.9644,4224.14,4270.85,6.36704,1
85000,15.8449,4186.42,4270.85,6.8477,1
86000,15.7264,4171.79,4270.85,7.44298,1
87000,15.6088,4205.95,4270.85,5.92417,1
88000,15.492,4182.65,4270.85,6.10048,1
89000,15.3761,4076.82,4270.85,8.54271,1
90000,15.261,4062.56,4270.85,7.64249,1
91000,15.1468,4112.12,4270.85,8.90244,1
92000,15.0334,4103.85,4270.85,7.2904,1
93000,14.9209,4053.41,4270.85,7.02381,1
94000,14.8093,4150.01,4270.85,7.28395,1
95000,14.6985,4094.51,4270.85,7.7381,1
96000,14.5886,4245.57,4271.1,5.79374,1
97000,14.4795,4180.9,4271.1,6.65111,1
98000,14.3711,4136.5,4287.81,7.12435,1
99000,14.2635,4225.29,4287.81,7.13407,1
100000,14.1567,4185.24,4287.81,7.80669,1
101000,14.0509,4236.11,4287.81,6.69145,1
102000,13.9458,4296.93,4300.28,5.81818,1
103000,13.8415,4296.14,4306.41,6.9378,1
104000,13.7379,4145.69,4306.41,7.79703,1
105000,13.6351,4234.52,4306.41,5.39216,1
106000,13.533,4274.12,4306.41,4.45714,1
107000,13.4318,4206.01,4306.41,6.36042,1
108000,13.3314,4196.73,4306.41,5.79374,1
109000,13.2316,4268.97,4315.49,6.09756,1
110000,13.1325,4254.13,4331.63,5.25606,1
111000,13.0343,4249.35,4331.63,6.75676,1
112000,12.9368,4286.61,4334.44,6.4982,1
113000,12.84,4168.44,4334.44,7.80312,1
114000,12.7439,4215.41,4334.44,4.62085,1
115000,12.6485,4252,4334.44,4.72155,1
116000,12.554,4264.29,4334.44,5.7971,1
117000,12.4601,4176.69,4334.44,6.69056,1
118000,12.3667,4156.28,4334.44,4.94297,1
119000,12.2742,4209.68,4334.44,4.98783,1
120000,12.1825,4196.76,4334.44,7.02576,1
121000,12.0913,4158.68,4334.44,6.52174,1
122000,12.0007,4227.04,4334.44,6.04595,1
123000,11.911,4222.19,4334.44,6.03774,1
124000,11.8219,4169.35,4334.44,5.28967,1
125000,11.7334,4147.71,4334.44,5.55556,1
126000,11.6457,4109.25,4334.44,5.10083,1
127000,11.5586,4151.56,4334.44,6.14458,1
128000,11.472,4031.35,4334.44,6.15183,1
129000,11.3862,4128.06,4334.44,6.04534,1
130000,11.3011,4110.12,4334.44,6.78788,1
131000,11.2164,4250.58,4334.44,4.00943,1
132000,11.1325,4247.71,4334.44,5.15075,1
133000,11.0493,4176.33,4334.44,5.69767,1
134000,10.9665,4176.01,4334.44,5.4023,1
135000,10.8845,4130.24,4334.44,4.7836,1
136000,10.8031,4145.29,4334.44,7.31707,1
137000,10.7222,4233.45,4334.44,5.59006,1
138000,10.6421,4155.3,4334.44,5.7623,1
139000,10.5624,4219.8,4334.44,6.75513,1
140000,10.4833,4199.75,4334.44,5.29954,1
141000,10.405,4230.42,4334.44,5.3066,1
142000,10.3271,4183.81,4334.44,4.53956,1
143000,10.2498,4260.46,4334.44,5.00659,1
144000,10.1732,4281.84,4334.44,3.57143,1
145000,10.0969,4267.41,4334.44,4.85679,1
