it,temp,actualQ,bestQ,pAvg,diversification
1000,19.8506,3347.31,3363.15,24.6835,1
2000,19.7018,3379.46,3409.48,25.4902,1
3000,19.5547,3347.97,3588.9,23.2484,1
4000,19.4081,3401.01,3588.9,25.1613,1
5000,19.2631,3521.81,3588.9,25.448,1
6000,19.1189,3481.29,3659.52,21.5805,1
7000,18.9759,3410.63,3659.52,24.924,1
8000,18.834,3570.88,3712.52,23.2295,1
9000,18.6928,3652.13,3712.52,22.1902,1
10000,18.5532,3424.51,3712.52,19.6286,1
11000,18.414,3615,3712.52,22.314,1
12000,18.2767,3595.53,3724.48,9.16905,1
13000,18.1396,3700.57,3800.42,11.7318,1
14000,18.0042,3879.22,3902.47,10.3876,1
15000,17.8693,3997.44,4082.59,9.53679,1
16000,17.7357,3782.97,4082.59,8.14111,1
17000,17.6029,3911.3,4091.51,8.79433,1
18000,17.4713,4030.07,4154.92,10.2819,1
19000,17.3405,4026.68,4154.92,6.16967,1
20000,17.2108,4092.14,4188.53,7.35826,1
21000,17.082,4076.78,4188.53,9.38242,1
22000,16.9543,3897.91,4188.53,7.22581,1
23000,16.8274,4051.83,4188.53,8.03571,1
24000,16.7015,3911.68,4188.53,8.69565,1
25000,16.5765,3971.26,4188.53,7.76119,1
26000,16.4525,3910.29,4188.53,8.54473,1
27000,16.3294,3825.3,4188.53,9.22693,1
28000,16.2073,3836.78,4188.53,11.0814,1
29000,16.0859,3969.24,4188.53,8.38253,1
30000,15.9657,3903.19,4188.53,8.15155,1
31000,15.8463,4093.98,4188.53,8.02548,1
32000,15.7277,4130.58,4188.53,5.7598,1
33000,15.6101,4103.36,4188.53,7.39796,1
34000,15.4933,3941.55,4188.53,7.46269,1
35000,15.3773,4075.47,4188.53,4.87805,1
36000,15.2623,3925.22,4188.53,8.97436,1
37000,15.1481,3956.25,4188.53,8.03898,1
38000,15.0347,4024,4188.53,5.72473,1
39000,14.9221,4044.47,4188.53,7.52688,1
40000,14.8105,4114.72,4188.53,6.68287,1
41000,14.6998,4141.25,4188.53,5.52291,1
42000,14.5898,4137.57,4188.53,6.0049,1
43000,14.4807,4103.72,4188.53,6.92951,1
44000,14.3723,4050.39,4188.53,6.35492,1
45000,14.2647,4146.84,4188.53,6.10687,1
46000,14.1579,4103.99,4199.19,5.90361,1
47000,14.0521,4066.43,4199.19,7.03218,1
48000,13.947,4072.84,4199.19,6.66667,1
49000,13.8426,4119.16,4200.28,5.40852,1
50000,13.739,4066.33,4200.28,7.18563,1
51000,13.6362,4074.4,4203.79,4.15677,1
52000,13.5341,4127.04,4203.79,6.06796,1
53000,13.433,4061.79,4203.79,4.59906,1
54000,13.3325,4139.64,4203.79,6.51659,1
55000,13.2327,4138.1,4203.79,6.93928,1
56000,13.1336,4118.03,4203.79,7.05128,1
57000,13.0354,4083.67,4203.79,5.66948,1
58000,12.9379,4072.1,4203.79,7.41176,1
59000,12.8411,4090.94,4203.79,6.19684,1
60000,12.745,4167.3,4203.79,5.90361,1
61000,12.6496,4078.21,4203.79,7.05446,1
62000,12.555,4137.94,4212.75,5.28967,1
63000,12.4611,4067.07,4212.75,6.37786,1
64000,12.3678,4065,4212.75,7.01149,1
65000,12.2753,4073.28,4212.75,5.61283,1
66000,12.1835,4199.41,4212.75,5.99295,1
67000,12.0923,4083.22,4212.75,6.52681,1
68000,12.0017,4103.05,4212.75,6.30841,1
69000,11.912,4062.17,4212.75,5.76687,1
70000,11.8229,4100.94,4212.75,5.7243,1
71000,11.7344,4143.28,4212.75,4.39024,1
72000,11.6466,4126.13,4212.75,4.81651,1
73000,11.5595,4114.48,4212.75,5.47148,1
74000,11.473,4166.47,4212.75,5.13784,1
75000,11.3871,4120.09,4212.75,5.29557,1
76000,11.302,4122.33,4212.75,4.83271,1
77000,11.2174,4111.99,4212.75,5.63035,1
78000,11.1335,4119.74,4212.75,5.86035,1
79000,11.0502,4125.65,4212.75,6.08696,1
80000,10.9675,4151.45,4212.75,5.35248,1
81000,10.8854,4149.53,4212.75,6.18932,1
82000,10.804,4114.98,4214.13,4.8995,1
83000,10.7231,4110.27,4214.13,5.40541,1
84000,10.643,4170.04,4214.13,4.50122,1
85000,10.5633,4151.89,4214.13,5.14076,1
86000,10.4842,4109.67,4214.13,6.05686,1
87000,10.4059,4185.13,4214.13,4.95663,1
88000,10.3279,4119.6,4214.13,4.80888,1
89000,10.2507,4099.79,4214.13,4.86891,1
90000,10.174,4152.16,4214.13,4.25806,1
91000,10.0977,4111.88,4214.13,5.80411,1
92000,10.0224,4167.02,4214.13,4.44727,1
93000,9.9473,4070.57,4214.13,4.96815,1
94000,9.87292,4096.64,4214.13,4.90654,1
95000,9.79908,4055.53,4214.13,3.72149,1
96000,9.72565,4122.52,4214.13,5.58313,1
97000,9.65302,4110.42,4214.13,4.76839,1
98000,9.58063,4086.18,4214.13,5.17647,1
99000,9.5091,4105.72,4214.13,4.45487,1
100000,9.43788,4088.86,4214.13,4.78528,1
101000,9.36731,4099.1,4214.13,5.39568,1
