it,temp,actualQ,bestQ,pAvg,diversification
1000,79.4023,2665.6,2981.5,43.6533,1
2000,78.8072,2858.56,3072.16,42.2222,1
3000,78.2187,3094.79,3257.57,42.1053,1
4000,77.6323,2982.14,3391.01,38.7812,1
5000,77.0525,3201.53,3425.48,40.2778,1
6000,76.4756,3181.08,3494,37.2159,1
7000,75.9034,3165.39,3567.55,35.9649,1
8000,75.3359,3285.55,3567.55,36.9318,1
9000,74.7713,3236.46,3567.55,41.3462,1
10000,74.213,3451.06,3647.21,36.2069,1
11000,73.656,3016.09,3722.91,37.971,1
12000,73.1066,3212.8,3722.91,40.0612,1
13000,72.5584,4096.59,4131.06,4.5657,0
14000,72.0167,4175.6,4178.6,3.3033,0
15000,71.477,4147.6,4180.16,3.8,0
16000,70.943,3388.68,4180.16,26.9504,1
17000,70.4117,3154.26,4180.16,37.1758,1
18000,69.8853,3109.27,4180.16,40.7855,1
19000,69.3621,2603.01,4180.16,40.1575,1
20000,68.8433,3010.61,4180.16,39.2739,1
21000,68.3282,3204.15,4180.16,35.6932,1
22000,67.817,2908.95,4180.16,36.7347,1
23000,67.3096,2980.91,4180.16,36.875,1
24000,66.806,2945.03,4180.16,39.9317,1
25000,66.3061,3423.72,4180.16,33.1606,1
26000,65.8102,3365.72,4180.16,39.5833,1
27000,65.3175,3307.2,4180.16,32.1739,1
28000,64.8292,3821.36,4180.16,11.4667,0
29000,64.3435,3900.81,4180.16,8.1407,0
30000,63.8629,3938.23,4180.16,6.79012,0
31000,63.3851,3588.39,4180.16,16.6667,1
32000,62.9109,3292.74,4180.16,31.7972,1
33000,62.4402,3316.73,4180.16,34.4828,1
34000,61.9731,3722.89,4180.16,30,1
35000,61.5094,3514.72,4180.16,43.0199,1
36000,61.0491,3287.42,4180.16,29.5739,1
37000,60.5922,3705.42,4180.16,29.1771,1
38000,60.1387,3403.63,4180.16,34.6505,1
39000,59.6886,3895.63,4180.16,30.6413,1
40000,59.2422,3096.3,4180.16,31.2649,1
41000,58.7991,3109.74,4180.16,33.8889,1
42000,58.3593,2958.52,4180.16,40.5405,1
43000,57.9226,3523.5,4180.16,37.2024,1
44000,57.4892,4020.64,4180.16,7.94781,0
45000,57.0589,4081.67,4180.16,3.6,0
46000,56.6317,4119.39,4180.16,3.7,0
47000,56.2082,3279.07,4180.16,15.9277,1
48000,55.7879,3210.24,4180.16,31.1392,1
49000,55.3705,3230.36,4180.16,32.948,1
50000,54.9562,2973.01,4180.16,34.5821,1
51000,54.5447,3045.17,4180.16,31.8182,1
52000,54.1366,3226.58,4180.16,29.3059,1
53000,53.7318,3367.81,4180.16,26.9068,1
54000,53.3299,3489.11,4180.16,25.7143,1
55000,52.9308,3137.01,4180.16,32.1809,1
56000,52.5344,3266.62,4180.16,38.4083,1
57000,52.1415,3142.35,4180.16,37.1429,1
58000,51.7517,3221.48,4180.16,36.1413,1
59000,51.3644,3246.98,4180.16,37.7193,1
60000,50.9798,4069.97,4180.16,6.84358,0
61000,50.5984,4206.61,4210.61,4.63499,0
62000,50.2201,4198.6,4211.96,4.04157,0
63000,49.8444,3788.31,4211.96,21.8254,1
64000,49.4711,3541.12,4211.96,23.913,1
65000,49.1011,3560.35,4211.96,26.8657,1
66000,48.734,3695.81,4211.96,26.0215,1
67000,48.3692,3417.43,4211.96,20.1077,1
68000,48.0068,3658.46,4211.96,28.4653,1
69000,47.6482,3473.59,4211.96,28.7599,1
70000,47.2917,3513.03,4211.96,26.9488,1
71000,46.9375,3838.96,4211.96,26.5985,1
72000,46.5865,3612.75,4211.96,28.9398,1
73000,46.2382,3408.5,4211.96,26.6234,1
74000,45.8919,3749.91,4211.96,25.0554,1
75000,45.5486,3714,4211.96,22.0085,1
76000,45.2081,3374.43,4211.96,26.6846,1
77000,44.8695,4274.87,4282.39,4.40324,0
78000,44.5338,4325.15,4325.15,3.3,0
79000,44.2009,4387.42,4394.42,2.9,0
80000,43.8698,3663.35,4394.42,14.5062,1
81000,43.5417,3838.58,4394.42,22.2816,1
82000,43.2162,3882.79,4394.42,27.3224,1
83000,42.8923,3418.66,4394.42,25.7908,1
84000,42.5718,3789.51,4394.42,19.8529,1
85000,42.2533,3745.82,4394.42,19.6078,1
86000,41.9367,3649.29,4394.42,21.8182,1
87000,41.6235,3526.81,4394.42,28.5714,1
88000,41.3117,3467.24,4394.42,28.0435,1
89000,41.0028,3688.59,4394.42,24.4361,1
90000,40.6962,3647.96,4394.42,24.6411,1
91000,40.391,3572.18,4394.42,35.7143,1
92000,40.0895,3533.44,4394.42,30.9973,1
93000,39.7892,3591.56,4394.42,33.711,1
94000,39.4917,4086.19,4394.42,19.3548,0
95000,39.1963,4359.76,4394.42,2.9029,0
96000,38.9026,4363.94,4394.42,2.5,0
97000,38.6121,4334.94,4400.96,2.43902,1
98000,38.3225,3778.33,4400.96,19.8864,1
99000,38.0364,4086.3,4400.96,15.9802,1
100000,37.7515,4157.75,4400.96,13.8075,1
101000,79.4023,3165.62,4400.96,39.0836,1
102000,78.8072,3068.31,4400.96,44.6203,1
103000,78.2187,3341.03,4400.96,41.3043,1
104000,77.6323,3211.94,4400.96,37.9603,1
105000,77.0525,3205.45,4400.96,37.9009,1
106000,76.4756,3216.59,4400.96,34.9246,1
107000,75.9034,3448.61,4400.96,35.1421,1
108000,75.3359,3689.17,4400.96,35.443,1
109000,74.7713,3276.93,4400.96,37.1622,1
110000,74.213,3575.9,4400.96,35.3474,1
111000,73.656,3534.39,4400.96,38.587,1
112000,73.1066,3356.66,4400.96,33.7292,1
113000,72.5584,4028.97,4400.96,16.1787,0
114000,72.0167,4292.43,4400.96,8.61723,0
115000,71.477,4319.73,4400.96,8.2,0
116000,70.943,3511.16,4400.96,11.9134,1
117000,70.4117,3173.19,4400.96,40.2439,1
118000,69.8853,3030.74,4400.96,34.2711,1
119000,69.3621,3502.48,4400.96,32.9446,1
120000,68.8433,3475.69,4400.96,37.3961,1
121000,68.3282,3406.8,4400.96,33.1536,1
122000,67.817,3419.67,4400.96,35.3261,1
123000,67.3096,3789.65,4400.96,31.25,1
124000,66.806,3566.33,4400.96,31.8066,1
125000,66.3061,3798.38,4400.96,32.0513,1
126000,65.8102,3829.11,4400.96,31.3817,1
127000,65.3175,3397.93,4400.96,26.9488,1
128000,64.8292,3630.53,4400.96,35.5987,1
129000,64.3435,4222.65,4400.96,18.6087,0
130000,63.8629,4289.61,4400.96,8.01282,0
131000,63.3851,4335.25,4400.96,8.15451,0
132000,62.9109,3470.64,4400.96,14.6409,1
133000,62.4402,3181.9,4400.96,37.883,1
134000,61.9731,3590.97,4400.96,37.9781,1
135000,61.5094,3586.57,4400.96,36.2117,1
136000,61.0491,3304.98,4400.96,39.9441,1
137000,60.5922,3710.71,4400.96,37.1257,1
138000,60.1387,3223.37,4400.96,41.039,1
139000,59.6886,3376.48,4400.96,40.4558,1
140000,59.2422,3382.66,4400.96,39.2265,1
141000,58.7991,3272.15,4400.96,40.0576,1
142000,58.3593,3334.34,4400.96,38.764,1
143000,57.9226,3368.81,4400.96,38.1098,1
144000,57.4892,3537.76,4400.96,33.7079,1
145000,57.0589,4222.26,4400.96,4.01648,0
146000,56.6317,4286.67,4400.96,2.1,0
147000,56.2082,4270.56,4400.96,2.9,0
148000,55.7879,3536.67,4400.96,30.4536,1
149000,55.3705,3395.57,4400.96,35.786,1
150000,54.9562,3769.28,4400.96,32.9545,1
151000,54.5447,3417.62,4400.96,26.6807,1
152000,54.1366,3348.49,4400.96,32.7711,1
153000,53.7318,3336.46,4400.96,35.2273,1
154000,53.3299,3485.11,4400.96,33.427,1
155000,52.9308,3468.87,4400.96,32.5333,1
156000,52.5344,3452.39,4400.96,31.405,1
157000,52.1415,3488.05,4400.96,30.5618,1
158000,51.7517,3060.37,4400.96,29.5612,1
159000,51.3644,3870.16,4400.96,31.1905,1
160000,50.9798,3206.34,4400.96,30.8271,1
161000,50.5984,4082.58,4400.96,7.1887,0
162000,50.2201,4160.32,4400.96,2.6694,0
163000,49.8444,4164.32,4400.96,2.94118,0
164000,49.4711,3447.39,4400.96,17.1381,1
165000,49.1011,3762.2,4400.96,30.4348,1
166000,48.734,3646.7,4400.96,30.131,1
167000,48.3692,3574.24,4400.96,32.3185,1
168000,48.0068,3563.34,4400.96,32.4921,1
169000,47.6482,3697.27,4400.96,35.906,1
170000,47.2917,3325.97,4400.96,35.8396,1
171000,46.9375,3439.77,4400.96,38.2514,1
172000,46.5865,3646.33,4400.96,30.7494,1
173000,46.2382,3723.59,4400.96,26.9953,1
174000,45.8919,3909.95,4400.96,18.3908,1
175000,45.5486,3689.63,4400.96,27.3333,1
176000,45.2081,3490.05,4400.96,30.9392,1
177000,44.8695,3714.68,4400.96,19.8488,1
178000,44.5338,4080.77,4400.96,4.5977,0
179000,44.2009,4152.6,4400.96,4.4044,0
180000,43.8698,4232.31,4400.96,4.43996,0
181000,43.5417,3850.66,4400.96,17.1717,1
182000,43.2162,3872.89,4400.96,21.2644,1
183000,42.8923,3921.88,4400.96,18.3119,1
184000,42.5718,3737.5,4400.96,17.2589,1
185000,42.2533,3577.25,4400.96,19.6278,1
186000,41.9367,3641.35,4400.96,34.7594,1
187000,41.6235,3614.13,4400.96,31.7949,1
188000,41.3117,3352.02,4400.96,19.3613,1
189000,41.0028,3581.07,4400.96,24.2,1
190000,40.6962,3645.86,4400.96,22.9209,1
191000,40.391,3603.59,4400.96,30.9333,1
192000,40.0895,3706.4,4400.96,29.5977,1
193000,39.7892,3518.25,4400.96,37.2611,1
194000,39.4917,3922.59,4400.96,28.3251,1
195000,39.1963,3266.13,4400.96,33.7563,1
196000,38.9026,3714.75,4400.96,6.93333,0
197000,38.6121,3767.46,4400.96,4.67626,0
198000,38.3225,3875.41,4400.96,5.98086,0
199000,38.0364,3656.12,4400.96,26.5659,1
200000,37.7515,3639.09,4400.96,36.4431,1
201000,79.4023,3433.95,4400.96,41.9847,1
202000,78.8072,3415.65,4400.96,42.0588,1
203000,78.2187,3450.58,4400.96,41.8462,1
204000,77.6323,3471.39,4400.96,41.1765,1
205000,77.0525,3275.3,4400.96,39.2857,1
206000,76.4756,3331.75,4400.96,38.3099,1
207000,75.9034,3492.84,4400.96,35.122,1
208000,75.3359,3420.73,4400.96,38.5075,1
209000,74.7713,3523.56,4400.96,38.4848,1
210000,74.213,2836.71,4400.96,39.7516,1
211000,73.656,3038.74,4400.96,36.2573,1
212000,73.1066,3165.66,4400.96,37.9501,1
213000,72.5584,3757.21,4400.96,10.4046,0
214000,72.0167,3779.99,4400.96,3.84168,0
215000,71.477,3816.82,4400.96,4.66507,0
216000,70.943,3742.06,4400.96,18.3099,1
217000,70.4117,3570.42,4400.96,34.7107,1
218000,69.8853,3426.96,4400.96,33.6957,1
219000,69.3621,3107.91,4400.96,34.8974,1
220000,68.8433,3198.37,4400.96,37.9009,1
221000,68.3282,3222.11,4400.96,32.2917,1
222000,67.817,3009.42,4400.96,34.6154,1
223000,67.3096,3046.96,4400.96,36.8421,1
224000,66.806,3313.56,4400.96,33.4218,1
225000,66.3061,3207.01,4400.96,35.2632,1
226000,65.8102,3523.6,4400.96,35.3261,1
227000,65.3175,3116.34,4400.96,37.3961,1
228000,64.8292,3516.31,4400.96,31.5927,0
229000,64.3435,4114.43,4400.96,5.84089,0
230000,63.8629,4161.71,4400.96,4.9,0
231000,63.3851,3967.84,4400.96,6.65973,1
232000,62.9109,3643.34,4400.96,29.3706,1
233000,62.4402,3586.19,4400.96,34.4353,1
234000,61.9731,3002.94,4400.96,37.0821,1
235000,61.5094,3012.04,4400.96,41.2234,1
236000,61.0491,3316.19,4400.96,40.0552,1
237000,60.5922,2841.04,4400.96,41.791,1
238000,60.1387,3065.54,4400.96,38.4393,1
239000,59.6886,2943.8,4400.96,41.4414,1
240000,59.2422,3186.72,4400.96,37.3684,1
241000,58.7991,3477.35,4400.96,33.7596,1
242000,58.3593,3337.18,4400.96,30.0532,1
243000,57.9226,3272.91,4400.96,28.9796,1
244000,57.4892,3891.87,4400.96,23.092,0
245000,57.0589,4146.19,4400.96,7.15746,0
246000,56.6317,4160.84,4400.96,6.55242,0
247000,56.2082,3340.51,4400.96,11.1244,1
248000,55.7879,3367.53,4400.96,38.1657,1
249000,55.3705,3532.29,4400.96,24.7401,1
250000,54.9562,3277.78,4400.96,29.3303,1
251000,54.5447,3254.36,4400.96,33.9726,1
252000,54.1366,3477.48,4400.96,30.5804,1
